t,x,y
6.639999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.660000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.679999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.700000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.719999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.740000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.759999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.780000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.799999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.820000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.860000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.879999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.900000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.940000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.959999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
6.980000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.000000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.019999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.040000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.059999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.080000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.099999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.120000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.139999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.160000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.179999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.200000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.219999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.240000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.259999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.280000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.299999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.320000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.339999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.360000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.379999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.400000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.419999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.440000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.459999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.480000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.500000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.519999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.540000000000000036e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.559999999999999609e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.580000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.599999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.620000000000000107e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.639999999999999680e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.660000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.679999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.700000000000000178e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.719999999999999751e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.740000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.759999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.780000000000000249e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.799999999999999822e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.820000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.860000000000000320e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.879999999999999893e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.900000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.919999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.940000000000000391e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.959999999999999964e+00,5.717541503906250000e+02,-7.863529205322265625e+00
7.980000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.000000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.019999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.039999999999999147e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.060000000000000497e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.080000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.099999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.119999999999999218e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.140000000000000568e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.160000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.179999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.199999999999999289e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.220000000000000639e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.240000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.259999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.279999999999999361e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.300000000000000711e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.320000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.339999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.359999999999999432e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.380000000000000782e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.400000000000000355e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.419999999999999929e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.439999999999999503e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.460000000000000853e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.480000000000000426e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.500000000000000000e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.519999999999999574e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.539999999999999147e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.560000000000000497e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.580000000000000071e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.599999999999999645e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.619999999999999218e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.640000000000000568e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.660000000000000142e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.679999999999999716e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.699999999999999289e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.720000000000000639e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.740000000000000213e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.759999999999999787e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.779999999999999361e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.800000000000000711e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.820000000000000284e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.839999999999999858e+00,5.717541503906250000e+02,-7.863529205322265625e+00
8.859999999999999432e+00,5.717541503906250000e+02,-7.863529205322265625e+00
